
,BM,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",HRVATSKI SAVEZ HKDU - HRAST,NARODNA STRANKA RADOM ZA BOLJITAK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),Ukupno
,173A007,22,14,32,62,6,1,21,147,33,1,12,1,6,358
,173A008,0,0,84,122,9,0,0,0,4,1,0,0,8,228
,173A009,1,6,27,209,19,1,1,0,2,1,0,0,5,272
,173A010,0,3,55,268,23,4,0,0,9,7,1,0,2,372
,173A011,0,0,57,101,7,6,0,0,3,1,0,0,1,176
,173A012,0,0,34,70,12,0,0,0,1,2,0,0,1,120
,173A013,0,1,96,340,32,2,3,2,6,6,0,0,11,499
,173A014,20,21,3,13,0,1,16,258,22,0,17,1,3,375
,173A015,0,7,60,192,47,4,5,12,3,5,3,0,3,341
,173A016,0,0,24,29,12,1,0,0,0,1,0,0,0,67
,173A017,8,12,61,213,27,1,20,16,20,5,1,0,9,393
,173A018,0,0,55,99,11,2,0,0,0,3,0,0,0,170
,173A019,0,2,50,75,34,0,1,0,3,0,0,0,1,166
,173A020A,0,10,42,87,20,4,11,31,7,0,7,0,9,228
,173A020B,3,8,24,50,17,2,17,15,7,0,2,0,3,148
,173A021A,1,0,20,213,73,2,0,0,0,0,0,0,1,310
,173A021B,0,4,22,188,50,0,0,0,1,2,0,0,3,270
,173A022A,4,13,62,205,6,1,40,22,4,3,3,0,12,375
,173A022B,13,10,51,127,8,0,52,11,2,1,4,0,15,294
,173A023,0,0,34,90,20,1,0,0,0,7,0,0,0,152
,173A024,10,15,34,139,18,1,13,3,10,2,5,3,4,257
,173A025,0,1,30,75,29,1,2,0,7,4,0,0,2,151
,173A026,1,10,60,214,18,1,8,2,13,3,1,1,8,340
,173A027,0,0,117,135,3,0,0,0,2,1,0,0,9,267
,173A028,4,13,42,102,11,1,31,125,22,0,7,4,37,399
,173A029,0,0,63,170,14,1,0,2,0,1,1,0,9,261
,173A030,10,10,3,7,1,1,15,115,5,0,12,0,1,180
,173A031,12,27,25,43,5,1,40,136,16,1,6,0,9,321
,173A032,3,11,26,110,11,4,17,13,18,0,1,0,5,219
,173A033,0,16,36,165,24,3,13,5,24,1,2,1,4,294
,174A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,174A001,0,1,49,97,7,1,3,1,8,0,0,1,1,169
,174A002,0,0,53,151,0,0,0,0,0,1,0,0,0,205
,174A003,0,0,22,65,1,1,0,0,1,0,0,0,0,90
,174A004,0,0,30,92,0,1,1,3,0,0,0,0,0,127
,174A005,0,0,70,130,9,14,0,0,0,2,0,0,0,225
,174A006,0,2,112,243,11,1,1,0,0,0,0,1,3,374
,174A007,0,1,49,124,5,5,3,0,7,1,0,0,2,197
,176A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,176A001,0,1,8,92,0,0,6,16,3,4,0,0,0,130
,176A002,0,0,15,49,0,0,0,7,0,34,0,0,0,105
,176A003,11,11,19,106,1,0,24,101,17,4,0,0,3,297
,176A004,9,22,6,20,0,0,18,149,55,1,4,1,1,286
,176A005,14,10,11,42,1,0,30,182,23,2,2,1,0,318
,176A006,16,12,28,256,1,0,23,176,7,52,1,0,1,573
,176A007,0,0,35,409,7,0,0,0,0,1,1,0,1,454
,176A008,8,11,39,338,4,0,43,78,13,2,0,1,0,537
,176A009,0,25,29,211,5,0,7,97,7,1,0,0,0,382
,176A010,2,2,32,260,4,1,5,21,12,9,0,0,2,350
,176A011,0,0,60,463,1,0,0,1,1,8,0,0,2,536
,176A012,9,13,24,84,3,0,16,45,40,5,0,0,0,239
,176A013,20,28,3,8,0,0,87,204,57,1,6,2,0,416
,176A014,4,4,14,150,0,0,16,137,11,16,1,0,2,355
,176A015,8,15,30,169,0,0,13,42,29,7,1,1,0,315
,176A016,11,10,26,176,0,0,20,116,14,12,1,2,5,393
,176A017,0,5,34,510,5,1,6,95,21,12,1,0,1,691
,176A018,6,14,13,52,3,1,38,77,21,6,1,0,1,233
,176A019,2,8,50,125,0,0,17,69,13,4,1,0,1,290
,181A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,181A001,0,0,35,139,0,0,1,0,0,0,0,0,1,176
,181A002,0,0,27,127,1,0,0,0,0,0,0,0,1,156
,181A003,0,0,14,115,0,0,0,0,0,0,0,0,27,156
,181A004,0,0,11,47,0,0,0,0,0,0,0,0,0,58
,181A005,0,0,3,20,1,1,1,2,4,0,0,0,1,33
,199A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
