BM,CVIJANOVIC ZELJKA - SNSD-DNS-SP,IVANIC MLADEN - SAVEZ ZA PROMJENE,ZMIJANJAC GORAN - STRANKA PRAVEDNE POLITIKE,Ukupno
009B010,120,130,13,263
009B011,88,54,5,147
009B012A,58,86,12,156
009B012B,44,46,11,101
009B013,135,185,20,340
009B014,55,61,6,122
009B015A,16,94,9,119
009B015B,25,102,7,134
009B015C,3,43,3,49
009B016,26,116,6,148
009B017,21,120,9,150
009B018,28,135,20,183
009B019,19,112,12,143
009B020,22,90,4,116
009B021,15,99,5,119
009B022A,97,146,9,252
009B022B,91,98,8,197
009B022C,36,48,3,87
009B023A,14,119,14,147
009B023B,19,123,17,159
009B023C,9,37,4,50
009B024,151,142,12,305
009B025,320,257,12,589
009B026,379,164,12,555
009B027,72,16,1,89
009B028,224,185,13,422
009B029,258,216,6,480
009B030,229,145,10,384
009B031,151,99,10,260
009B032,175,178,6,359
009B033,201,158,17,376
009B034,106,139,11,256
009B035,167,160,10,337
009B036,227,147,4,378
009B037,145,65,4,214
009B038,15,113,9,137
009B039,137,123,20,280
009B040,106,101,10,217
009B041,45,31,7,83
009B042,161,106,3,270
009B043,9,39,4,52
009B044,8,69,11,88
009B045,102,102,6,210
009B046,130,130,7,267
009B047,79,42,6,127
009B048,3,95,9,107
009B049,9,70,8,87
009B050,3,83,8,94
009B051A,4,70,11,85
009B051B,4,48,2,54
009B052A,16,106,23,145
009B052B,2,35,1,38
009B053,26,60,5,91
009B054,272,182,8,462
009B055,35,46,11,92
009B056A,64,169,15,248
009B056B,48,120,15,183
009B057,240,112,9,361
009B058,256,113,11,380
009B059,321,160,6,487
009B060,120,108,9,237
009B061,316,278,6,600
009B062,110,115,6,231
009B063,130,95,3,228
009B064,155,107,10,272
009B065,130,117,5,252
009B066,287,186,8,481
009B067,218,170,25,413
009B068,270,141,21,432
009B069,158,133,15,306
009B070,130,91,24,245
009B071,224,144,22,390
009B072,155,131,26,312
009B073,141,104,16,261
009B074,231,150,28,409
009B075,274,189,26,489
009B076,267,242,25,534
009B077,255,189,19,463
009B078,308,185,49,542
009B079A,174,194,19,387
009B079B,192,184,15,391
009B079C,81,77,9,167
009B080,193,129,21,343
009B081,80,173,16,269
009B082,60,172,21,253
009B083,79,141,21,241
009B084,109,137,11,257
009B085,130,144,14,288
009B086,135,139,26,300
009B087,163,100,17,280
009B088,183,125,28,336
009B089,162,111,21,294
009B090A,242,195,29,466
009B090B,259,221,24,504
009B090C,153,124,11,288
009B091,189,133,23,345
009B092,145,100,22,267
009B093,172,95,28,295
009B094,184,107,14,305
009B095,228,128,21,377
009B096,204,156,24,384
009B097,221,176,33,430
009B098,236,161,34,431
009B099,221,175,50,446
009B100,214,174,27,415
009B101,174,125,19,318
009B102,50,40,8,98
009B103,255,169,30,454
009B104,198,131,35,364
009B105,126,117,22,265
009B106,284,192,30,506
009B107,161,155,27,343
009B108,254,164,38,456
009B109,260,199,26,485
009B110,157,115,10,282
009B111,22,87,14,123
009B112,190,161,22,373
009B113,70,64,10,144
010B000,0,0,0,0
010B001,36,104,14,154
010B002,120,67,6,193
010B003,125,156,4,285
010B004,288,149,12,449
010B005,262,186,4,452
010B006,26,99,5,130
010B007,345,182,14,541
010B008,105,212,2,319
010B009,64,78,4,146
010B010,70,71,2,143
010B011,137,112,2,251
010B012,243,108,12,363
010B013,46,64,0,110
010B014,252,261,13,526
010B015,152,159,17,328
010B016,53,78,1,132
010B017,118,126,1,245
010B018,202,81,5,288
010B019,73,74,6,153
010B020,89,54,0,143
010B021,127,44,0,171
010B022,57,47,2,106
010B023,372,184,10,566
010B024,70,57,0,127
010B025,210,143,7,360
010B026,278,258,9,545
010B027,206,74,9,289
010B028,132,42,3,177
010B029,160,120,9,289
010B030,200,144,7,351
010B031,142,158,7,307
010B032,122,80,8,210
010B033,151,156,5,312
010B034,168,121,5,294
010B035,235,120,11,366
010B036,9,42,4,55
010B037,85,66,3,154
010B038,206,107,6,319
010B039,154,119,0,273
010B040,94,211,7,312
010B041,271,158,2,431
010B042,217,256,19,492
010B043,127,74,5,206
010B044,127,118,3,248
010B045,219,178,7,404
010B046,126,84,4,214
010B047,95,84,2,181
010B048,141,174,2,317
010B049,29,133,17,179
010B050,90,139,7,236
010B051,34,155,7,196
010B052,206,290,8,504
010B053,284,228,15,527
010B054,178,193,13,384
010B055,124,99,14,237
010B056,185,123,19,327
010B057,225,147,15,387
010B058,66,119,18,203
010B059,130,130,14,274
010B060,92,148,7,247
010B061,51,145,14,210
010B062,125,138,16,279
010B063,251,212,15,478
010B064,170,129,10,309
010B065,173,116,12,301
010B066,333,185,20,538
010B067,278,210,17,505
010B068,115,105,5,225
010B069,244,214,16,474
010B070,325,193,19,537
010B071,246,173,12,431
010B072,250,176,11,437
010B073,193,249,10,452
010B074,117,48,5,170
010B075,137,119,3,259
010B076,107,102,15,224
010B077,126,162,11,299
010B078,205,149,16,370
010B079,261,288,8,557
010B080,153,140,8,301
010B081,114,84,7,205
010B082,77,126,12,215
010B083,18,57,4,79
010B084,160,95,5,260
010B085,18,89,12,119
010B086,271,184,13,468
010B087A,183,95,7,285
010B087B,258,170,8,436
010B088,219,106,10,335
010B089A,34,101,14,149
010B089B,22,106,9,137
011B000,0,0,0,0
011B001,215,157,16,388
011B002,327,169,30,526
011B003,355,215,32,602
011B004,291,175,29,495
011B005,282,161,27,470
011B006,256,116,66,438
011B007A,173,147,7,327
011B007B,188,182,9,379
011B008,163,159,13,335
011B009A,406,182,13,601
011B009B,224,96,7,327
011B010,367,101,6,474
011B011,319,129,6,454
011B012,304,130,24,458
011B013A,225,174,31,430
011B013B,150,132,24,306
011B013C,90,58,13,161
011B014A,256,101,6,363
011B014B,229,93,17,339
011B015,321,138,6,465
011B016,273,251,7,531
011B017,145,72,6,223
011B018,327,186,26,539
011B019,115,127,13,255
011B020,248,239,10,497
011B021,175,134,11,320
011B022A,243,204,26,473
011B022B,174,144,6,324
011B023A,259,195,24,478
011B023B,198,120,24,342
011B024,239,183,16,438
011B025,231,116,16,363
011B026,220,91,18,329
011B027,271,199,28,498
011B028,305,199,21,525
011B029,264,183,57,504
011B030,264,222,25,511
011B031,57,65,16,138
011B032,253,134,23,410
011B033,268,202,46,516
011B034,185,76,7,268
011B035,113,72,9,194
011B036,63,14,6,83
011B037,121,133,4,258
011B038,262,181,25,468
011B039,196,173,5,374
011B040,182,164,12,358
011B041,224,86,13,323
012B000,0,0,0,0
012B001,219,192,14,425
012B002,281,285,23,589
012B003,192,147,6,345
012B004,276,293,23,592
012B005,168,183,6,357
012B006,366,248,20,634
012B007,180,138,10,328
012B008,264,186,9,459
012B009,199,182,4,385
012B010,131,108,8,247
012B011,333,234,18,585
012B012,333,130,11,474
012B013A,136,135,3,274
012B013B,141,168,16,325
012B014,112,77,0,189
012B015,266,241,13,520
012B016,88,102,2,192
012B017,70,67,6,143
012B018,113,55,1,169
012B019,159,124,3,286
012B020,253,158,5,416
012B021,156,186,18,360
012B022,140,141,4,285
012B023,106,130,8,244
012B024,49,40,2,91
012B025,83,57,5,145
012B026,76,79,1,156
012B027,360,287,32,679
012B028,270,217,10,497
012B029,71,88,5,164
012B030,160,112,3,275
013B000,0,0,0,0
013B001,219,170,19,408
013B002,165,118,18,301
013B003,132,120,10,262
013B004,163,176,17,356
013B005,188,188,14,390
013B006,151,154,12,317
013B007,169,161,17,347
013B008,176,184,31,391
013B009,190,321,14,525
013B010,165,213,16,394
013B011,100,161,1,262
013B012A,111,166,14,291
013B012B,183,212,8,403
013B013,104,110,3,217
013B014,108,81,11,200
013B015,171,336,5,512
013B016,12,146,20,178
013B017,175,198,7,380
013B018,145,144,13,302
013B019,90,102,7,199
013B020,190,166,8,364
013B021,128,212,6,346
013B022,181,191,17,389
013B023,144,161,12,317
013B024,102,80,9,191
013B025,155,252,8,415
013B026A,71,102,6,179
013B026B,165,186,7,358
013B027,27,31,6,64
013B028,137,98,2,237
013B029,206,135,16,357
013B030,104,51,9,164
013B031,194,161,10,365
013B032,163,129,7,299
013B033A,33,97,13,143
013B033B,36,103,11,150
013B033C,7,45,5,57
013B034,187,251,17,455
013B035,206,182,9,397
013B036,266,130,4,400
013B037,213,153,3,369
013B038A,170,219,4,393
013B038B,128,125,0,253
013B039,83,80,4,167
013B040,105,106,5,216
013B041,31,116,2,149
013B042,88,134,4,226
013B043,114,105,3,222
013B044,116,245,7,368
013B045,75,124,4,203
013B046,167,169,9,345
013B047,170,118,10,298
013B048,110,165,14,289
013B049A,74,117,12,203
013B049B,107,104,16,227
013B050,95,103,18,216
013B051,72,101,6,179
014B000,0,0,0,0
014B001,148,206,8,362
014B002,118,188,17,323
014B003,189,228,19,436
014B004,134,202,9,345
014B005,217,174,19,410
014B006,92,117,11,220
014B007,172,195,24,391
014B008,142,138,19,299
014B009,154,184,17,355
014B010,164,148,17,329
014B011,98,97,5,200
014B012,137,145,12,294
014B013A,160,160,20,340
014B013B,83,98,11,192
014B014,130,185,4,319
014B015,225,185,12,422
014B016,157,168,11,336
014B017,125,143,3,271
014B018,183,180,10,373
014B019,137,128,19,284
014B020A,231,170,5,406
014B020B,171,124,4,299
014B021,175,212,16,403
014B022,54,23,7,84
014B023A,157,143,4,304
014B023B,98,114,1,213
014B024,211,175,7,393
014B025,207,163,3,373
014B026,89,183,4,276
014B027A,141,139,7,287
014B027B,86,132,5,223
014B028,127,149,12,288
014B029,24,54,7,85
014B030,44,79,3,126
014B031,54,124,9,187
014B032,25,39,9,73
014B033,79,88,6,173
014B034,11,28,8,47
014B035,109,187,9,305
014B036,177,154,15,346
014B037,87,141,19,247
014B038,128,128,6,262
014B039,5,50,5,60
014B040,19,63,5,87
016B000,0,0,0,0
016B001,123,96,18,237
016B002,149,105,31,285
016B003,157,120,22,299
016B004,160,118,19,297
016B005,119,104,14,237
016B006,137,119,11,267
016B007,183,168,26,377
016B008,191,160,19,370
016B009,199,181,18,398
016B010,59,106,2,167
016B011,19,54,1,74
016B012,69,110,6,185
016B013,186,138,8,332
016B014,110,104,14,228
016B015,102,195,32,329
016B016,79,90,14,183
016B017,89,201,4,294
016B018,39,80,12,131
016B019,18,119,8,145
016B020,48,55,9,112
016B021,189,167,30,386
016B022,93,78,9,180
016B023,74,91,27,192
016B024,25,13,2,40
016B025,66,30,8,104
018B000,0,0,0,0
018B001,35,142,14,191
018B002,37,198,6,241
018B003,25,37,2,64
018B004,42,97,3,142
018B005,56,136,14,206
018B006,6,48,0,54
018B007,203,211,7,421
018B008,21,159,15,195
021B000,0,0,0,0
021B001A,75,142,17,234
021B001B,76,89,16,181
021B002,126,160,14,300
021B003,114,112,20,246
021B004,193,221,19,433
021B005,260,280,9,549
021B006,176,165,16,357
021B007,37,100,8,145
021B008,86,222,9,317
021B009A,55,199,3,257
021B009B,86,196,15,297
021B010,62,193,14,269
021B011,63,179,8,250
021B012,30,99,12,141
021B013A,92,222,6,320
021B013B,65,184,8,257
021B013C,73,184,12,269
021B014,102,140,2,244
021B015,230,238,17,485
021B016,116,228,9,353
021B017,56,78,6,140
021B018,96,131,9,236
021B019,56,116,6,178
021B020,53,75,3,131
021B021,157,159,22,338
021B022,154,145,15,314
021B023,41,185,1,227
023B000,0,0,0,0
023B001,186,236,10,432
023B002,46,77,3,126
023B003,116,178,7,301
023B004,79,265,4,348
024B000,0,0,0,0
024B001,138,225,17,380
024B002,97,226,13,336
024B003,162,232,18,412
024B004,102,186,15,303
024B005,95,275,20,390
024B006,140,200,7,347
024B007,159,190,24,373
024B008,177,194,16,387
024B009,240,294,19,553
024B010,169,389,12,570
024B011,240,269,11,520
024B012,59,71,0,130
024B013,172,139,9,320
024B014,29,92,7,128
024B015,200,269,12,481
024B016,77,66,1,144
024B017,172,112,12,296
024B018,60,84,3,147
024B019A,43,81,6,130
024B019B,19,35,8,62
024B020,159,151,2,312
024B021,87,76,1,164
024B022,64,92,4,160
024B023,85,143,3,231
024B024,80,68,1,149
024B025A,26,61,11,98
024B025B,37,133,15,185
024B026,134,260,14,408
024B027,188,255,13,456
024B028,2,7,1,10
024B029,46,50,1,97
024B030,220,218,5,443
024B031,169,202,8,379
024B032,91,138,5,234
024B033,191,223,8,422
024B034,175,281,2,458
024B035,153,259,23,435
024B036,104,240,13,357
024B037,134,212,20,366
024B038,98,228,3,329
024B039,157,385,7,549
026B000,0,0,0,0
026B001,148,218,9,375
026B002,94,168,1,263
026B003,85,157,6,248
026B004,115,208,8,331
026B005,64,83,8,155
026B006,43,152,19,214
026B007,13,83,0,96
026B008A,67,58,3,128
026B009,3,16,1,20
026B010,18,18,1,37
029B000,0,0,0,0
029B001,132,132,14,278
029B002,129,192,20,341
029B003,101,131,16,248
029B004,167,237,16,420
029B005A,67,87,14,168
029B005B,90,121,7,218
029B006,62,86,9,157
029B007,86,177,13,276
029B008,126,129,17,272
029B009,89,106,9,204
029B010,183,181,21,385
029B011,148,178,6,332
029B012,237,233,15,485
029B013,162,213,25,400
029B014A,104,151,13,268
029B014B,87,102,8,197
029B015,141,164,9,314
029B016,112,179,15,306
029B017,136,199,15,350
029B018,149,118,11,278
029B019,225,243,20,488
029B020,114,113,13,240
029B021,141,147,10,298
029B022,161,213,24,398
029B023,149,252,17,418
029B024,42,96,7,145
029B025,123,194,10,327
029B026A,209,164,12,385
029B026B,165,137,9,311
029B027,145,144,15,304
029B028,206,151,15,372
029B029,187,151,21,359
029B030,133,142,7,282
029B031,93,101,7,201
029B032,81,63,5,149
029B033,168,216,13,397
029B034,60,162,11,233
029B035,101,182,8,291
029B036,8,144,17,169
029B037,8,207,25,240
029B038,69,134,8,211
029B039,8,114,25,147
029B040,2,111,6,119
029B041,10,140,16,166
029B042,13,73,12,98
029B043,1,99,10,110
029B044,180,352,18,550
029B045,40,64,0,104
029B046A,211,219,13,443
029B046B,167,152,14,333
029B047A,159,236,27,422
029B047B,78,126,15,219
029B048,35,112,2,149
029B049,102,156,6,264
029B050A,145,237,9,391
029B050B,152,209,13,374
029B050C,76,177,4,257
029B050D,129,162,6,297
029B051,191,232,16,439
029B052,126,178,8,312
029B053,126,231,20,377
029B054,143,143,4,290
029B055,151,300,4,455
029B056,126,297,7,430
029B057,66,299,1,366
029B058,49,70,0,119
029B059,63,132,7,202
029B060,134,178,16,328
029B061,47,90,2,139
029B062A,99,298,4,401
029B062B,125,321,3,449
029B062C,69,154,3,226
029B063A,177,227,9,413
029B063B,166,171,9,346
029B063C,101,156,9,266
029B064A,181,174,29,384
029B064B,154,138,20,312
029B065A,171,201,20,392
029B065B,218,283,14,515
029B065C,82,92,4,178
029B066A,87,262,5,354
029B066B,124,208,6,338
029B067A,111,266,4,381
029B067B,113,295,3,411
029B068,83,417,15,515
029B069,122,290,0,412
029B070,98,212,0,310
029B071A,99,126,2,227
029B071B,152,204,8,364
029B072,216,302,7,525
029B073,98,187,2,287
029B074,94,205,8,307
029B075,56,161,2,219
029B076,75,198,1,274
029B077,108,316,8,432
029B078,227,190,11,428
029B079,147,253,5,405
029B080,76,92,0,168
029B081A,129,230,11,370
029B081B,63,103,4,170
029B082,78,65,1,144
029B083,143,122,3,268
029B084,136,175,4,315
029B085,201,259,14,474
029B086,91,113,5,209
029B087,69,165,4,238
029B088,30,77,0,107
029B089,240,229,10,479
029B090,165,319,7,491
029B091,95,251,6,352
029B092A,201,283,10,494
029B092B,128,190,23,341
029B092C,185,234,21,440
029B092D,150,205,16,371
029B092E,55,59,5,119
029B093,92,80,6,178
029B094,33,67,0,100
029B095A,232,232,7,471
029B095B,159,150,6,315
029B096A,254,370,15,639
029B096B,134,238,10,382
029B097A,115,306,13,434
029B097B,85,178,8,271
029B098A,115,317,5,437
029B098B,127,299,7,433
029B098C,118,269,10,397
029B099,183,310,11,504
029B100A,200,243,8,451
029B100B,149,198,7,354
029B100C,166,225,9,400
029B100D,208,227,4,439
029B100E,147,179,15,341
029B101,138,183,19,340
029B102,214,213,18,445
029B103A,111,116,11,238
029B103B,151,133,23,307
029B104,68,191,6,265
029B105,98,347,6,451
029B106,217,193,19,429
029B107,165,189,16,370
029B108A,162,280,9,451
029B108B,125,204,12,341
029B109,20,62,3,85
029B110,73,73,10,156
029B111,162,228,26,416
029B112,147,267,16,430
029B113,155,152,17,324
029B114A,106,86,5,197
029B114B,119,124,13,256
029B115,158,182,8,348
029B116,135,141,12,288
029B117,195,226,27,448
029B118,98,97,22,217
029B119,151,235,14,400
029B120,133,189,16,338
029B121,139,251,13,403
029B122,174,205,27,406
029B123,227,218,20,465
029B124,80,103,5,188
029B125,99,162,15,276
029B126,198,187,20,405
029B127,11,54,4,69
029B128,44,108,7,159
029B129,74,114,13,201
029B130,217,265,16,498
031B000,0,0,0,0
031B001,177,30,6,213
031B002,245,41,7,293
033B000,0,0,0,0
033B001A,127,59,5,191
033B001B,132,91,13,236
033B001C,73,98,7,178
033B002,122,136,5,263
033B003,144,95,4,243
033B004,44,8,4,56
033B005,63,65,0,128
033B006,62,13,1,76
033B007,159,127,7,293
034B000,5,1,0,6
034B001,202,77,7,286
034B002,226,141,28,395
034B003,251,190,32,473
034B004,310,199,32,541
034B005,146,106,23,275
034B006,175,184,23,382
034B007,243,200,24,467
034B008A,162,104,7,273
034B008B,143,129,9,281
034B009,176,145,22,343
034B010,186,181,23,390
034B011,183,142,31,356
034B012,165,186,31,382
034B013,203,183,36,422
034B014,212,150,32,394
034B015,158,180,20,358
034B016,232,198,24,454
034B017,179,215,21,415
034B018,192,160,44,396
034B019,166,178,34,378
034B020,174,157,32,363
034B021,177,208,33,418
034B022,270,247,42,559
034B023,195,196,38,429
034B024,198,196,22,416
034B025,305,181,14,500
034B026,287,127,6,420
034B027A,86,57,2,145
034B027B,189,103,17,309
034B028,180,157,7,344
034B029,204,114,9,327
034B030,148,127,3,278
034B031,193,169,30,392
034B032,162,181,32,375
034B033,146,194,22,362
034B034,156,142,27,325
034B035,170,159,27,356
034B036,133,105,22,260
034B037,127,173,30,330
034B038,184,186,23,393
034B039A,178,86,6,270
034B039B,244,129,7,380
034B040,138,160,14,312
034B041,94,231,17,342
034B042,220,219,39,478
034B043,65,149,10,224
034B044,129,106,3,238
034B045,40,53,2,95
034B046,286,203,20,509
034B047,199,275,32,506
034B048,176,199,22,397
034B049,229,144,20,393
034B050,146,95,20,261
034B051A,179,243,27,449
034B051B,135,179,24,338
034B051C,123,150,12,285
034B052A,186,213,21,420
034B052B,175,145,12,332
034B053,132,151,12,295
034B054,80,42,2,124
034B055,276,253,33,562
034B056,186,151,24,361
034B057,249,195,26,470
034B058,146,132,12,290
034B059,232,129,31,392
034B060,215,168,17,400
034B061,227,166,45,438
034B062,171,152,19,342
034B063,173,186,30,389
034B064,196,141,17,354
034B065,192,194,20,406
034B066,142,167,15,324
034B067A,193,88,15,296
034B067B,203,101,8,312
034B068,197,136,9,342
034B069,80,45,7,132
034B070A,217,129,12,358
034B070B,177,132,4,313
034B071,190,214,31,435
034B072,126,189,30,345
034B073,170,193,36,399
034B074,140,166,18,324
034B075,176,186,36,398
034B076,172,147,33,352
034B077,143,115,22,280
034B078,158,153,31,342
034B079,241,140,34,415
034B080,223,113,20,356
034B081,195,104,12,311
034B082,422,118,12,552
034B083,161,51,2,214
034B084A,166,248,24,438
034B084B,107,133,12,252
034B084C,103,128,5,236
034B085,183,145,18,346
034B086,200,169,28,397
034B087,218,194,29,441
034B088,266,161,27,454
034B089,196,155,20,371
034B090,222,180,32,434
034B091,232,152,21,405
034B092,268,161,25,454
034B093,226,126,30,382
034B094,224,145,37,406
034B095,218,166,24,408
034B096,257,209,35,501
034B097,297,154,34,485
034B098,217,139,18,374
034B099,138,121,16,275
034B100,195,112,20,327
034B101,225,226,19,470
034B102,229,198,41,468
034B103,219,192,16,427
034B104,221,172,20,413
034B105,203,174,25,402
034B106,186,201,20,407
034B107,181,175,34,390
034B108,240,176,28,444
034B109,216,164,44,424
034B110,214,202,31,447
034B111,202,167,26,395
034B112,228,156,24,408
034B113,227,217,42,486
034B114,237,172,37,446
034B115,256,166,15,437
034B116,207,165,27,399
034B117,212,53,5,270
034B118A,107,228,15,350
034B118B,82,233,6,321
034B119A,182,197,19,398
034B119B,117,150,12,279
034B120,180,152,30,362
034B121,169,110,25,304
034B122,187,174,35,396
034B123,165,169,22,356
034B124,142,160,36,338
034B125,190,177,23,390
034B126,207,177,34,418
034B127,193,186,29,408
034B128,188,147,41,376
034B129,211,200,27,438
034B130,194,161,30,385
034B131,144,162,32,338
034B132,195,177,26,398
034B133,174,183,34,391
034B134,197,224,27,448
034B135,181,139,33,353
034B136,176,143,32,351
034B137,166,184,33,383
034B138,194,211,28,433
034B139,160,174,13,347
034B140,119,154,22,295
034B141,162,183,35,380
034B142,204,145,33,382
034B143,164,140,25,329
034B144,196,183,31,410
034B145,163,179,24,366
034B146,189,161,47,397
034B147,163,172,24,359
034B148,139,154,35,328
034B149,106,49,0,155
034B150,56,28,0,84
034B151,15,13,3,31
034B152,238,195,32,465
034B153,184,199,23,406
034B154,221,168,29,418
034B155,199,156,27,382
034B156,204,177,32,413
034B157,224,179,43,446
034B158,232,201,23,456
034B159,199,173,33,405
034B160,242,205,31,478
034B161,193,201,31,425
034B162,157,152,25,334
034B163,181,227,31,439
034B164,213,179,28,420
034B165,235,163,35,433
034B166,221,211,44,476
034B167,201,206,31,438
034B168A,274,181,38,493
034B168B,208,124,24,356
034B169,86,59,8,153
034B170,148,176,39,363
034B171,101,149,29,279
034B172,121,108,11,240
034B173A,144,180,15,339
034B173B,173,157,18,348
034B173C,148,115,10,273
034B174,196,229,13,438
034B175A,181,192,16,389
034B175B,181,186,14,381
034B175C,82,91,15,188
034B176,260,125,9,394
034B177,159,53,2,214
034B178,220,202,39,461
034B179,235,157,41,433
034B180,229,162,37,428
034B181,201,212,46,459
034B182,220,196,45,461
034B183,185,122,39,346
034B184,287,174,27,488
034B185,250,172,26,448
034B186,255,160,16,431
034B187A,267,169,20,456
034B187B,243,200,18,461
034B188,45,105,13,163
034B189,142,126,11,279
034B190,62,105,11,178
034B191,166,134,14,314
034B192,143,121,12,276
034B193,254,221,32,507
034B194,219,159,13,391
034B195A,232,177,31,440
034B195B,147,165,31,343
034B196,191,161,29,381
034B197,173,209,32,414
034B198,179,170,33,382
034B199,192,154,25,371
034B200,193,171,31,395
034B201,176,160,23,359
034B202,202,201,32,435
034B203,188,179,18,385
034B204,187,172,31,390
034B205,195,209,38,442
034B206,177,160,31,368
034B207,197,186,18,401
034B208,232,232,25,489
034B209,197,167,33,397
034B210,234,211,24,469
034B211,211,231,34,476
034B212,100,33,1,134
034B213,111,109,4,224
034B214,51,24,0,75
034B215,48,19,0,67
034B216,208,181,34,423
034B217,177,170,23,370
034B218,195,220,36,451
034B219,229,204,42,475
034B220,183,243,44,470
034B221,210,201,41,452
034B222,222,183,17,422
034B223,169,191,28,388
034B224,191,163,21,375
034B225,184,229,34,447
034B226,172,211,33,416
034B227,152,165,25,342
034B228,205,202,36,443
034B229,192,200,44,436
034B230,156,144,25,325
034B231,205,174,31,410
034B232,161,182,21,364
034B233,237,230,42,509
034B234,240,192,29,461
034B235,241,231,36,508
034B236,201,172,33,406
034B237A,180,213,32,425
034B237B,112,132,19,263
034B238,12,6,2,20
034B239,103,109,10,222
034B240,205,198,24,427
034B241,190,174,24,388
034B242,180,202,38,420
034B243,136,178,20,334
035B000,0,0,0,0
035B001,296,183,17,496
035B002,210,189,22,421
035B003,263,248,27,538
035B004,237,217,17,471
035B005,186,158,23,367
035B006,210,199,8,417
035B007,129,127,2,258
035B008,134,114,7,255
035B009,203,192,8,403
035B010,141,62,4,207
035B011A,151,168,9,328
035B011B,107,126,5,238
035B012,135,78,5,218
035B013,226,116,10,352
035B014,180,131,2,313
035B015,100,119,8,227
035B016,49,117,3,169
035B017,178,132,6,316
035B018,119,70,8,197
035B019,157,33,2,192
035B020,277,160,29,466
035B021,108,72,2,182
035B022,134,65,7,206
035B023,338,232,32,602
035B024,248,202,48,498
035B025,76,113,4,193
038B000,0,0,0,0
038B001,165,115,7,287
038B002,170,155,22,347
038B003A,188,214,21,423
038B003B,164,121,17,302
038B004,207,183,22,412
038B005,225,177,12,414
038B006A,166,120,10,296
038B006B,136,88,15,239
038B007,219,191,17,427
038B008A,274,158,29,461
038B008B,176,141,14,331
038B009A,226,166,21,413
038B009B,174,125,27,326
038B010,103,84,8,195
038B011A,237,182,19,438
038B011B,143,99,11,253
038B012,69,57,1,127
038B013,67,152,13,232
038B014,69,229,24,322
038B015,220,183,25,428
038B016A,100,128,12,240
038B016B,177,108,14,299
038B017,32,197,23,252
038B018,21,47,1,69
038B019A,209,146,14,369
038B019B,155,117,12,284
038B020,100,125,5,230
038B021A,170,286,18,474
038B021B,135,176,10,321
038B022,201,322,12,535
038B023,79,170,4,253
038B024,228,158,6,392
038B025,171,137,4,312
038B026A,174,173,10,357
038B026B,178,182,6,366
